learning_rate,depth,rsm,subsample,min_data_in_leaf,accuracy,precision,recall,f1
0.08,5,0.9,0.6,140,0.6966773847802786,0.6694214876033058,0.5985221674876847,0.6319895968790636
0.08,5,0.9,0.6,140,0.6963519313304721,0.6742209631728046,0.5862068965517241,0.6271409749670619
0.08,5,0.9,0.6,140,0.6845493562231759,0.6581196581196581,0.5703703703703704,0.6111111111111112
0.08,5,0.9,0.6,140,0.6963519313304721,0.6763005780346821,0.5777777777777777,0.6231691078561917
0.08,5,0.9,0.6,140,0.7191854233654876,0.7105263157894737,0.5985221674876847,0.6497326203208555
0.08,5,0.9,0.6,140,0.6902465166130761,0.6647887323943662,0.5812807881773399,0.6202365308804204
0.08,5,0.9,0.6,140,0.694206008583691,0.6805970149253732,0.5615763546798029,0.6153846153846154
0.08,5,0.9,0.6,140,0.6781115879828327,0.6548672566371682,0.5481481481481482,0.5967741935483871
0.08,5,0.9,0.6,140,0.6738197424892703,0.6438746438746439,0.5580246913580247,0.5978835978835979
0.08,5,0.9,0.6,140,0.707395498392283,0.6927536231884058,0.5886699507389163,0.6364846870838882
0.08,5,0.9,0.6,140,0.6709539121114684,0.6468842729970327,0.5369458128078818,0.5868102288021534
0.08,5,0.9,0.6,140,0.6995708154506438,0.6769662921348315,0.5935960591133005,0.6325459317585302
0.08,5,0.9,0.6,140,0.6984978540772532,0.6761363636363636,0.5876543209876544,0.6287978863936592
0.08,5,0.9,0.6,140,0.6802575107296137,0.6498599439775911,0.5728395061728395,0.6089238845144357
0.08,5,0.9,0.6,140,0.6784565916398714,0.644808743169399,0.5812807881773399,0.6113989637305699
0.08,5,0.9,0.6,140,0.6752411575562701,0.6584615384615384,0.5270935960591133,0.5854993160054719
0.08,5,0.9,0.6,140,0.6995708154506438,0.6875,0.5689655172413793,0.6226415094339622
0.08,5,0.9,0.6,140,0.6952789699570815,0.6763848396501457,0.5728395061728395,0.6203208556149733
0.08,5,0.9,0.6,140,0.6920600858369099,0.6676136363636364,0.5802469135802469,0.6208718626155879
0.08,5,0.9,0.6,140,0.7084673097534834,0.6861111111111111,0.6083743842364532,0.6449086161879897
0.08,5,0.9,0.6,140,0.6902465166130761,0.6833855799373041,0.5369458128078818,0.6013793103448276
0.08,5,0.9,0.6,140,0.674892703862661,0.6492753623188405,0.5517241379310345,0.5965379494007989
0.08,5,0.9,0.6,140,0.6952789699570815,0.6648501362397821,0.6024691358024692,0.6321243523316062
0.08,5,0.9,0.6,140,0.6834763948497854,0.6536312849162011,0.5777777777777777,0.6133682830930537
0.08,5,0.9,0.6,140,0.6795284030010718,0.6515580736543909,0.5665024630541872,0.6060606060606061
0.08,5,0.9,0.6,140,0.6956055734190782,0.6713483146067416,0.5886699507389163,0.6272965879265091
0.08,5,0.9,0.6,140,0.7049356223175965,0.6824512534818942,0.603448275862069,0.6405228758169935
0.08,5,0.9,0.6,140,0.6802575107296137,0.649025069637883,0.5753086419753086,0.6099476439790575
0.08,5,0.9,0.6,140,0.6781115879828327,0.6530612244897959,0.5530864197530864,0.5989304812834224
0.08,5,0.9,0.6,140,0.6988210075026795,0.6750700280112045,0.5935960591133005,0.6317169069462647
0.08,5,0.9,0.6,140,0.6602357984994641,0.6320474777448071,0.5246305418719212,0.5733512786002692
0.08,5,0.9,0.6,140,0.6856223175965666,0.663768115942029,0.5640394088669951,0.6098535286284953
0.08,5,0.9,0.6,140,0.7049356223175965,0.6934523809523809,0.5753086419753086,0.6288798920377867
0.08,5,0.9,0.6,140,0.6888412017167382,0.6610644257703081,0.582716049382716,0.6194225721784776
0.08,5,0.9,0.6,140,0.6763129689174705,0.6538461538461539,0.5443349753694581,0.5940860215053764
0.08,5,0.9,0.6,140,0.684887459807074,0.6627906976744186,0.5615763546798029,0.608
0.08,5,0.9,0.6,140,0.6899141630901288,0.672566371681416,0.5615763546798029,0.6120805369127517
0.08,5,0.9,0.6,140,0.6888412017167382,0.6558265582655827,0.5975308641975309,0.6253229974160206
0.08,5,0.9,0.6,140,0.7060085836909872,0.6728232189973615,0.6296296296296297,0.6505102040816327
0.08,5,0.9,0.6,140,0.684887459807074,0.6609195402298851,0.5665024630541872,0.6100795755968169
0.08,5,0.9,0.6,140,0.6956055734190782,0.6773255813953488,0.5738916256157636,0.6213333333333334
0.08,5,0.9,0.6,140,0.6920600858369099,0.663013698630137,0.5960591133004927,0.6277561608300909
0.08,5,0.9,0.6,140,0.6845493562231759,0.6554621848739496,0.5777777777777777,0.6141732283464566
0.08,5,0.9,0.6,140,0.6877682403433476,0.651595744680851,0.6049382716049383,0.6274007682458386
0.08,5,0.9,0.6,140,0.6891747052518756,0.6620111731843575,0.583743842364532,0.6204188481675392
0.08,5,0.9,0.6,140,0.6977491961414791,0.6834319526627219,0.5689655172413793,0.620967741935484
0.08,5,0.9,0.6,140,0.6984978540772532,0.6666666666666666,0.6157635467980296,0.6402048655569782
0.08,5,0.9,0.6,140,0.6791845493562232,0.6505681818181818,0.5654320987654321,0.6050198150594451
0.08,5,0.9,0.6,140,0.6877682403433476,0.6686390532544378,0.5580246913580247,0.6083445491251682
0.08,5,0.9,0.6,140,0.7041800643086816,0.6815642458100558,0.6009852216748769,0.6387434554973822
0.08,5,0.9,0.6,140,0.707395498392283,0.6894586894586895,0.5960591133004927,0.6393659180977542
0.08,5,0.9,0.6,140,0.7006437768240343,0.6895522388059702,0.5689655172413793,0.6234817813765183
0.08,5,0.9,0.6,140,0.6856223175965666,0.6707317073170732,0.5432098765432098,0.6002728512960437
0.08,5,0.9,0.6,140,0.657725321888412,0.6149732620320856,0.5679012345679012,0.5905006418485237
